statenum,casenum,vnumber,crashtype,dridistract,dridistract,driavoidmanvr,drivisobs
48,138,2,45,0,0,98,0
48,138,3,98,0,0,98,0
48,139,1,88,0,0,98,0
48,139,2,89,93,93,98,0
48,140,1,1,0,0,98,0
48,141,1,6,0,0,98,0
48,142,1,25,0,0,98,0
48,142,2,24,0,0,98,0
48,143,1,2,0,0,98,0
48,144,1,11,0,0,98,0
48,145,1,13,0,0,5,0
48,146,1,1,0,0,98,0
48,147,1,1,0,0,98,0
48,148,1,1,0,0,98,0
48,149,1,1,0,0,98,0
48,150,1,1,0,0,98,0
48,151,1,1,93,93,98,0
48,152,1,1,0,0,0,0
48,153,1,6,0,0,98,0
48,154,1,13,0,0,0,0
48,155,1,98,0,0,98,0
48,156,1,13,0,0,98,0
48,157,1,52,93,93,98,0
48,157,2,52,0,0,98,0
48,159,1,13,0,0,5,0
48,159,2,98,0,0,4,0
48,160,1,13,0,0,5,0
48,161,1,13,0,0,98,0
48,162,1,1,0,0,98,0
48,163,1,68,0,0,98,0
48,163,2,69,0,0,98,0
48,164,1,88,0,0,98,0
48,164,2,89,0,0,98,0
48,165,1,6,0,0,98,0
48,166,1,20,0,0,4,0
48,166,2,21,0,0,0,0
48,167,1,89,0,0,0,0
48,167,2,88,93,93,98,0
48,168,1,1,0,0,98,0
48,169,1,6,0,0,98,0
48,170,1,6,0,0,98,0
48,171,1,13,0,0,98,2
48,172,1,13,0,0,0,5
48,174,1,13,10,10,98,0
48,175,1,1,0,0,98,0
48,176,1,7,0,0,98,0
48,177,1,6,15,15,98,0
48,178,1,6,0,0,98,0
48,179,1,2,0,0,98,0
48,180,1,13,0,0,98,0
48,181,1,2,0,0,98,0
48,182,1,88,99,99,99,99
48,182,2,89,0,0,98,0
48,183,1,13,99,99,99,99
48,184,1,7,0,0,98,0
48,185,1,6,0,0,98,0
48,186,1,24,0,0,98,0
48,186,2,25,0,0,98,0
48,187,1,13,12,12,98,0
48,188,1,87,0,0,98,0
48,188,2,86,0,0,98,0
48,189,1,1,0,0,98,0
48,190,1,50,0,0,98,0
48,190,2,51,0,0,98,0
48,191,1,13,0,0,5,0
48,191,2,98,0,0,5,0
48,192,1,64,0,0,98,0
48,192,2,65,0,0,98,0
48,192,3,98,0,0,98,0
48,193,1,13,0,0,98,0
48,195,1,50,0,0,98,0
48,195,2,51,0,0,98,0
48,196,1,13,0,0,98,0
48,197,1,13,0,0,0,0
48,198,1,13,0,0,98,0
48,199,1,82,0,0,98,0
48,199,2,83,0,0,4,0
48,200,1,51,0,0,98,0
48,200,2,50,0,0,98,0
48,201,1,6,0,0,98,0
48,202,1,2,15,15,99,0
48,203,1,1,0,0,98,0
48,204,1,13,99,99,99,99
48,205,1,13,0,0,98,0
48,206,1,2,0,0,98,0
48,207,1,47,0,0,98,0
48,207,2,45,0,0,98,0
48,208,1,13,0,0,5,0
48,209,1,6,99,99,99,99
48,210,1,13,0,0,98,0
48,211,1,0,0,0,98,0
48,213,1,13,0,0,98,0
48,214,1,24,93,93,4,0
48,214,2,25,0,0,98,0
48,215,1,89,0,0,0,0
48,215,2,88,0,0,98,0
48,216,1,13,99,99,99,99
48,217,1,13,0,0,98,0
48,218,1,7,0,0,98,0
48,219,1,13,99,99,99,99
48,220,1,6,0,0,98,0
48,221,1,13,0,0,98,0
48,222,1,88,0,0,98,0
48,222,2,89,0,0,98,0
48,223,1,98,12,12,98,0
48,224,1,50,6,6,98,0
48,224,2,51,0,0,98,0
48,225,1,1,0,0,98,0
48,226,1,98,16,16,95,95
48,227,1,98,16,16,95,95
48,228,1,32,0,0,98,0
48,228,2,32,0,0,98,0
48,229,1,13,0,0,98,0
48,230,1,88,93,93,98,0
48,230,2,89,0,0,98,0
48,231,1,52,0,0,98,0
48,231,2,52,0,0,98,0
48,232,1,64,0,0,0,0
48,232,2,65,0,0,98,0
48,233,1,1,0,0,98,0
48,234,1,28,93,93,98,0
48,234,2,29,0,0,98,0
48,234,3,98,0,0,98,0
48,235,1,13,0,0,98,0
48,236,1,7,0,0,98,0
48,237,1,13,0,0,0,0
48,238,1,98,0,0,98,0
48,239,1,7,0,0,98,0
48,240,1,88,0,0,92,0
48,240,2,89,0,0,0,0
48,241,1,74,93,93,4,0
48,241,2,74,0,0,98,0
48,242,1,28,93,93,0,0
48,242,2,29,0,0,0,0
48,243,1,52,0,0,98,0
48,243,2,52,0,0,98,0
48,243,3,98,0,0,98,0
48,244,1,7,0,0,98,0
48,245,1,86,0,0,98,0
48,245,2,87,0,0,98,0
48,246,1,87,0,0,98,0
48,246,2,86,0,0,98,0
48,246,3,98,0,0,0,0
48,248,1,13,0,0,98,0
48,249,1,13,99,99,99,99
48,250,1,13,99,99,99,99
48,251,1,13,0,0,98,0
48,252,1,98,0,0,98,0
48,252,2,98,0,0,98,0
48,254,1,6,0,0,0,0
48,255,1,1,93,93,98,0
48,256,1,98,0,0,98,0
48,257,1,13,93,93,98,0
48,258,1,7,0,0,98,0
48,259,1,13,0,0,98,0
48,260,1,1,0,0,98,0
48,261,1,13,0,0,98,0
48,262,1,24,0,0,98,0
48,262,2,25,0,0,98,0
48,263,1,89,0,0,98,0
48,263,2,88,0,0,4,0
48,264,1,1,0,0,98,0
48,265,1,11,15,15,98,0
48,266,1,13,1,1,0,98
48,267,1,76,0,0,98,0
48,267,2,77,0,0,98,0
48,268,1,13,0,0,98,0
48,269,1,98,0,0,98,0
48,270,1,50,0,0,92,0
48,270,2,51,0,0,98,0
48,271,1,2,0,0,98,0
48,272,1,6,0,0,98,0
48,273,1,20,0,0,98,0
48,273,2,21,0,0,0,0
48,273,3,98,0,0,0,0
48,273,4,98,0,0,0,0
48,274,1,7,0,0,98,0
48,275,1,2,0,0,98,0
48,276,1,1,0,0,92,0
48,277,1,7,0,0,98,0
48,278,1,52,0,0,98,0
48,278,2,52,0,0,98,0
48,279,1,1,0,0,98,0
48,280,1,50,0,0,98,0
48,280,2,51,0,0,98,0
48,281,1,21,0,0,0,0
48,281,2,20,0,0,98,0
48,282,1,6,0,0,98,0
48,283,1,6,0,0,98,0
48,284,1,1,0,0,98,0
48,285,1,1,0,0,98,0
48,286,1,7,0,0,98,0
48,287,1,1,0,0,98,0
48,288,1,6,1,1,98,0
48,289,1,82,0,0,98,0
48,289,2,83,0,0,4,0
48,290,1,66,0,0,98,0
48,290,2,66,0,0,98,0
48,291,1,13,0,0,98,0
48,294,1,88,0,0,98,0
48,294,2,89,0,0,98,0
48,295,1,6,0,0,98,0
48,296,1,2,0,0,98,0
48,297,1,27,0,0,0,0
48,297,2,24,0,0,98,0
48,298,1,1,0,0,98,0
48,299,1,6,92,92,98,0
48,300,1,66,0,0,98,0
48,300,2,66,0,0,4,0
48,301,1,7,0,0,98,0
48,301,2,98,0,0,98,0
48,302,1,14,0,0,98,0
48,303,1,88,0,0,4,0
48,303,2,89,0,0,98,0
48,303,3,98,0,0,98,0
48,304,1,2,0,0,98,0
48,305,1,7,0,0,98,0
48,306,1,24,0,0,98,0
48,306,2,25,0,0,98,0
48,306,3,98,0,0,0,0
48,307,1,68,0,0,98,0
48,307,2,69,0,0,98,0
48,308,1,13,0,0,98,0
48,309,1,25,0,0,98,0
48,309,2,24,0,0,98,0
48,310,1,98,6,6,98,0
48,311,1,6,0,0,98,0
48,312,1,13,0,0,98,0
48,313,1,1,0,0,98,0
48,314,1,13,0,0,98,0
48,315,1,6,0,0,98,0
48,316,1,7,0,0,98,0
48,318,1,82,0,0,98,0
48,318,2,83,0,0,98,0
48,319,1,1,93,93,98,0
48,320,1,24,0,0,98,0
48,320,2,25,0,0,98,0
48,321,1,52,0,0,98,0
48,321,2,52,0,0,98,0
48,322,1,92,0,0,4,0
48,322,2,93,0,0,0,0
48,323,1,1,92,92,98,0
48,324,1,6,93,93,98,0
48,325,1,1,0,0,98,0
48,326,1,50,0,0,98,0
48,326,2,51,0,0,0,0
48,327,1,2,0,0,98,0
48,328,1,6,0,0,98,0
48,329,1,32,0,0,98,0
48,329,2,32,0,0,0,0
48,330,1,1,0,0,98,0
48,330,2,98,0,0,98,0
48,331,1,13,0,0,5,0
48,332,1,98,0,0,98,0
48,333,1,50,0,0,98,0
48,333,2,51,0,0,98,0
48,334,1,88,0,0,98,0
48,334,2,89,0,0,98,0
48,335,1,98,0,0,98,0
48,335,2,98,0,0,4,0
48,335,3,98,0,0,4,0
48,336,1,1,0,0,98,0
48,336,2,98,0,0,4,0
48,337,1,48,0,0,98,0
48,337,2,48,0,0,98,0
48,337,3,98,0,0,92,0
48,338,1,2,0,0,98,0
48,339,1,1,0,0,98,0
48,340,1,2,0,0,98,0
48,341,2,11,0,0,98,0
48,342,1,13,0,0,98,0
48,343,1,20,0,0,98,0
48,343,2,21,0,0,0,0
48,343,3,98,0,0,0,0
48,344,1,50,0,0,98,0
48,344,2,51,0,0,98,0
48,345,1,66,0,0,98,0
48,345,2,66,0,0,0,2
48,346,1,84,0,0,99,0
48,346,2,84,0,0,98,0
48,347,1,28,0,0,0,0
48,347,2,29,0,0,98,0
48,347,3,98,0,0,0,0
48,348,1,88,0,0,4,0
48,348,2,89,0,0,98,0
48,349,1,68,0,0,0,1
48,349,2,69,0,0,98,0
48,350,1,68,93,93,98,0
48,350,2,69,0,0,98,0
48,351,1,52,0,0,98,0
48,351,2,52,0,0,4,0
48,352,1,2,0,0,99,0
48,353,1,24,0,0,98,0
48,353,2,25,0,0,98,0
48,354,1,24,0,0,98,0
48,354,2,25,0,0,0,0
48,355,1,13,0,0,98,0
48,356,1,50,0,0,98,0
48,356,2,51,0,0,98,0
48,357,1,7,0,0,98,0
48,358,1,78,0,0,98,0
48,358,2,79,0,0,4,0
48,359,1,68,0,0,98,0
48,359,2,69,0,0,4,0
48,360,1,1,0,0,98,0
48,362,1,13,0,0,98,0
48,363,1,98,0,0,98,0
48,363,2,98,0,0,0,0
48,364,1,66,0,0,92,0
48,364,2,66,0,0,98,0
48,365,1,66,0,0,98,0
48,365,2,66,0,0,4,0
48,366,1,66,0,0,98,0
48,366,2,66,0,0,98,0
48,367,1,69,0,0,98,0
48,367,2,68,0,0,98,0
48,368,1,87,0,0,98,0
48,368,2,86,0,0,98,0
48,368,3,98,0,0,98,0
48,369,1,6,0,0,98,0
48,370,1,13,0,0,98,0
48,371,1,98,0,0,0,0
48,371,2,98,0,0,4,0
48,372,1,87,0,0,98,0
48,372,2,86,0,0,0,0
48,373,1,82,0,0,98,0
48,373,2,83,0,0,98,0
48,374,1,86,0,0,98,0
48,374,2,87,0,0,98,0
48,375,1,88,0,0,4,0
48,375,2,89,0,0,98,0
48,376,1,6,0,0,0,0
48,376,2,98,0,0,99,0
48,377,1,2,0,0,98,0
48,378,1,1,0,0,98,0
48,379,1,7,0,0,98,0
48,380,1,13,0,0,98,0
48,381,1,1,5,5,98,0
48,382,1,89,6,6,98,0
48,382,2,88,0,0,98,0
48,383,1,13,0,0,0,0
48,384,1,24,0,0,98,0
48,384,2,25,0,0,98,0
48,385,1,25,0,0,98,0
48,385,2,24,92,92,0,0
48,386,1,6,0,0,98,0
48,387,1,50,0,0,98,0
48,387,2,51,0,0,4,0
48,388,1,13,0,0,0,0
48,389,1,1,0,0,98,0
48,390,1,13,0,0,98,0
48,391,1,13,0,0,0,0
48,392,1,13,0,0,98,0
48,393,1,7,0,0,98,0
48,394,1,1,0,0,98,0
48,395,1,98,0,0,98,0
48,395,2,98,0,0,98,0
48,396,1,6,0,0,98,0
48,397,1,1,0,0,98,0
48,398,1,7,0,0,98,0
48,399,1,50,0,0,98,0
48,399,2,51,0,0,98,0
48,400,1,86,93,93,98,0
48,400,2,87,0,0,98,0
48,401,1,20,1,1,0,0
48,401,2,22,0,0,0,0
48,402,1,86,0,0,98,0
48,402,2,87,5,5,98,0
48,403,1,6,0,0,98,0
48,404,1,14,0,0,98,0
48,405,1,1,0,0,98,0
48,406,1,1,0,0,98,0
48,407,1,44,0,0,98,0
48,407,2,45,0,0,98,0
48,408,1,13,0,0,98,98
48,409,1,45,93,93,98,0
48,409,2,44,0,0,98,0
48,410,1,6,0,0,98,0
48,411,1,13,0,0,98,0
48,412,1,83,0,0,98,0
48,412,2,82,0,0,98,0
48,413,1,98,0,0,98,0
48,414,1,69,0,0,0,0
48,414,2,68,0,0,98,0
48,415,1,6,0,0,98,0
48,416,1,1,0,0,98,0
48,418,1,68,0,0,98,0
48,418,2,69,0,0,98,0
48,419,1,89,92,92,98,0
48,419,2,88,0,0,0,0
48,420,1,13,93,93,98,0
48,421,1,52,93,93,98,0
48,421,2,52,0,0,98,0
48,422,1,2,0,0,98,0
48,423,1,24,0,0,98,0
48,423,2,25,0,0,98,0
48,424,1,12,0,0,98,0
48,425,1,45,0,0,98,0
48,425,2,47,0,0,98,0
48,426,1,13,15,15,98,0
48,427,1,32,0,0,98,0
48,427,2,32,0,0,0,0
48,428,1,1,0,0,98,0
48,429,1,20,0,0,98,0
48,429,2,21,0,0,0,0
48,430,1,98,0,0,4,0
48,430,2,98,0,0,0,0
48,431,1,66,0,0,92,0
48,431,2,66,0,0,4,0
48,432,1,1,93,93,0,0
48,433,1,2,0,0,98,0
48,434,1,86,0,0,98,0
48,434,2,87,0,0,98,0
48,435,1,6,0,0,98,0
48,436,1,0,0,0,98,0
48,437,1,1,0,0,98,0
48,438,1,98,0,0,98,0
48,438,2,98,0,0,4,0
48,439,1,66,0,0,4,0
48,439,2,66,0,0,98,0
48,439,3,98,0,0,98,0
48,440,1,89,0,0,98,0
48,440,2,88,0,0,0,0
48,441,1,98,0,0,98,0
48,441,2,0,15,15,98,0
48,442,1,32,0,0,98,0
48,442,2,32,0,0,98,0
48,443,1,47,0,0,98,0
48,443,2,45,0,0,98,0
48,444,1,51,0,0,98,0
48,444,2,50,0,0,98,0
48,445,1,11,0,0,0,0
48,446,1,68,0,0,98,0
48,446,2,69,0,0,98,0
48,447,1,2,3,3,98,0
48,448,1,50,0,0,98,0
48,448,2,51,3,3,98,0
48,449,1,24,0,0,98,0
48,449,2,25,0,0,98,0
48,450,1,46,0,0,98,0
48,450,2,45,0,0,98,0
48,450,3,98,0,0,98,0
48,451,1,86,0,0,98,0
48,451,2,87,0,0,98,0
48,451,3,98,0,0,98,0
48,452,1,13,0,0,98,0
48,453,1,6,99,99,98,99
48,454,1,13,0,0,98,0
48,455,1,50,0,0,98,0
48,455,2,51,0,0,98,0
48,455,3,98,0,0,98,0
48,456,1,89,0,0,98,0
48,456,2,88,0,0,98,0
48,457,1,87,0,0,98,0
48,457,2,86,0,0,98,0
48,457,3,98,0,0,99,0
48,458,1,52,0,0,98,0
48,458,2,52,0,0,98,0
48,458,3,98,0,0,4,0
48,459,1,2,0,0,98,0
48,460,1,66,93,93,98,0
48,460,2,66,0,0,98,0
48,461,1,23,0,0,0,0
48,461,2,20,0,0,98,0
48,462,1,11,0,0,98,0
48,463,1,1,3,3,98,0
48,464,1,50,0,0,98,0
48,464,2,51,0,0,98,0
48,465,1,1,0,0,98,0
48,466,1,6,0,0,98,0
48,467,1,6,0,0,98,0
48,467,2,98,99,99,99,99
48,468,1,1,0,0,98,0
48,470,1,13,0,0,98,0
48,471,1,66,0,0,98,0
48,471,2,66,0,0,0,0
48,471,3,98,0,0,4,0
48,472,1,66,0,0,4,0
48,472,2,66,0,0,98,0
48,473,1,1,0,0,98,0
48,474,1,13,0,0,98,0
48,475,1,78,0,0,98,0
48,475,2,79,1,1,0,0
48,475,3,98,0,0,98,0
48,476,1,13,0,0,98,0
48,476,2,98,0,0,0,0
48,477,1,7,0,0,98,0
48,477,2,98,0,0,98,0
48,478,1,13,0,0,98,0
48,479,1,98,0,0,98,0
48,480,1,7,93,93,98,0
48,481,1,13,0,0,98,0
48,482,1,52,0,0,98,0
48,482,2,52,0,0,98,0
48,483,1,2,0,0,98,0
48,484,1,2,0,0,98,0
48,485,1,13,0,0,98,0
48,486,1,1,0,0,98,0
48,487,1,2,0,0,98,0
48,488,1,13,0,0,98,0
48,489,1,50,0,0,98,0
48,489,2,51,0,0,98,0
48,489,3,98,0,0,98,0
48,490,1,86,0,0,98,0
48,490,2,87,0,0,98,0
48,491,1,13,0,0,98,0
48,492,1,1,0,0,98,0
48,493,1,13,0,0,98,0
48,494,1,1,0,0,98,0
48,495,1,13,0,0,98,0
48,496,1,13,0,0,98,0
48,497,1,13,0,0,5,0
48,497,2,98,0,0,98,0
48,498,1,52,0,0,98,0
48,498,2,52,0,0,98,0
48,499,1,13,0,0,98,0
48,500,1,13,0,0,98,0
48,501,1,6,0,0,98,0
48,502,1,98,5,5,0,0
48,503,1,88,0,0,98,0
48,503,2,89,0,0,98,0
48,504,1,88,0,0,98,0
48,504,2,89,0,0,98,0
48,505,1,32,16,16,95,95
48,505,2,32,0,0,0,98
48,506,1,2,0,0,98,0
48,507,1,7,0,0,98,0
48,508,1,66,0,0,98,0
48,508,2,66,0,0,98,0
48,509,1,32,0,0,4,0
48,509,2,32,16,16,95,95
48,509,3,98,0,0,4,0
48,510,1,1,0,0,0,0
48,511,1,98,0,0,98,0
48,511,2,98,0,0,98,0
48,512,1,13,5,5,98,0
48,513,1,1,0,0,98,0
48,514,1,20,0,0,98,0
48,514,2,21,0,0,0,0
48,515,1,68,0,0,98,0
48,515,2,69,0,0,98,0
48,516,1,14,0,0,98,0
48,517,1,98,0,0,3,0
48,518,1,52,0,0,0,0
48,518,2,52,0,0,4,0
48,519,1,47,0,0,98,0
48,519,2,45,0,0,98,0
48,519,3,98,0,0,98,0
48,519,4,98,0,0,98,0
48,520,1,13,0,0,98,0
48,521,1,1,93,93,98,0
48,522,1,98,0,0,98,0
48,522,2,98,0,0,4,0
48,523,1,32,0,0,98,0
48,523,2,32,16,16,95,95
48,524,1,52,0,0,4,6
48,524,2,52,0,0,4,0
48,525,1,69,0,0,98,0
48,525,2,68,0,0,4,0
48,526,1,6,0,0,98,0
48,526,2,98,0,0,98,0
48,527,1,13,17,17,99,99
48,528,1,13,0,0,5,0
48,529,1,7,0,0,98,0
48,530,1,20,93,93,98,0
48,530,2,22,0,0,0,0
48,531,1,28,0,0,98,0
48,531,2,29,0,0,98,0
48,532,1,6,0,0,98,0
48,533,1,13,0,0,98,0
48,534,1,13,0,0,98,0
48,535,1,50,0,0,98,0
48,535,2,51,0,0,98,0
48,536,1,64,0,0,98,0
48,536,2,65,0,0,98,0
48,537,1,98,0,0,98,0
48,538,1,50,0,0,98,0
48,538,2,51,0,0,98,0
48,539,1,50,0,0,98,0
48,539,2,51,0,0,98,0
48,539,3,98,0,0,0,0
48,540,1,1,0,0,98,0
48,541,1,52,0,0,98,0
48,541,2,52,0,0,98,0
48,542,1,64,0,0,98,0
48,542,2,65,0,0,4,0
48,543,1,13,0,0,5,0
48,544,1,50,0,0,98,0
48,544,2,51,0,0,98,0
48,545,1,64,0,0,98,0
48,545,2,65,0,0,98,0
48,546,1,1,0,0,98,0
48,547,1,13,0,0,98,0
48,548,1,50,0,0,98,0
48,548,2,51,0,0,98,0
48,549,1,13,0,0,0,0
48,550,1,88,0,0,98,0
48,550,2,89,0,0,98,0
48,551,1,7,93,93,98,0
48,552,1,52,0,0,98,0
48,552,2,52,0,0,4,0
48,553,1,64,0,0,98,0
48,553,2,65,0,0,98,0
48,554,1,13,0,0,0,0
48,555,1,13,0,0,98,6
48,556,1,13,0,0,98,0
48,557,1,1,0,0,98,0
48,558,1,13,0,0,98,0
48,559,1,6,0,0,98,0
48,560,1,6,0,0,98,0
48,561,1,1,0,0,98,0
48,562,1,1,0,0,98,0
48,563,1,82,0,0,0,0
48,563,2,83,0,0,4,0
48,564,1,68,0,0,98,0
48,564,2,69,0,0,98,0
48,565,1,6,0,0,98,0
48,566,1,82,0,0,98,0
48,566,2,83,0,0,98,0
48,567,1,2,0,0,98,0
48,568,1,7,0,0,98,0
48,569,1,88,0,0,98,0
48,569,2,89,0,0,98,0
48,569,3,98,0,0,98,0
48,570,1,2,0,0,98,0
48,571,1,66,0,0,98,0
48,571,2,66,0,0,98,0
48,572,1,7,0,0,98,0
48,573,1,48,0,0,98,0
48,573,2,48,0,0,98,0
48,574,1,24,0,0,98,0
48,574,2,25,0,0,98,0
48,575,1,13,0,0,98,0
48,576,1,66,0,0,98,0
48,576,2,66,0,0,98,0
48,577,1,1,0,0,98,0
48,578,1,50,0,0,98,0
48,578,2,51,0,0,98,0
48,579,1,66,0,0,98,0
48,579,2,66,0,0,98,0
48,580,1,6,0,0,98,0
48,581,1,13,0,0,5,0
48,582,1,13,0,0,0,0
48,583,1,7,0,0,98,0
48,584,1,13,99,99,99,99
48,585,1,13,0,0,98,0
48,586,1,7,0,0,98,0
48,587,1,6,0,0,98,0
48,588,1,52,0,0,98,0
48,588,2,52,0,0,98,0
48,589,1,2,0,0,98,0
48,590,1,89,0,0,98,0
48,590,2,88,0,0,98,0
48,592,1,1,0,0,92,0
48,593,1,51,0,0,98,0
48,593,2,50,0,0,98,0
48,594,1,1,0,0,98,0
48,595,1,98,0,0,98,0
48,596,1,32,0,0,98,0
48,596,2,32,16,16,95,95
48,597,1,84,0,0,98,0
48,597,2,84,0,0,98,0
48,598,1,83,93,93,0,0
48,598,2,82,0,0,98,0
48,599,1,2,0,0,0,0
48,600,1,52,0,0,4,0
48,600,2,52,0,0,4,0
48,601,1,64,0,0,98,0
48,601,2,65,0,0,98,0
48,601,3,98,0,0,4,0
48,601,4,98,0,0,98,0
48,602,1,1,0,0,98,0
48,603,1,13,0,0,98,0
